"name","authorFirstName","authorLastName","category","isbn","issn","mediaType","location"
"Das neue Rock Lexikon","Barry","Graves","Fachbuch Geschichte","9783499163203",,"Buch","Außenstelle Brigittenau I"
"Theo Boone und der unsichtbare Zeuge","John","Grisham","Belletristik","9783453260009",,"Buch","Außenstelle Brigittenau I"
"Unglaublich einfach - einfach unglaublich","Werner","Gruber","Belletristik","9783453600621",,"Buch","Außenstelle Brigittenau I"
"Wer nichts weiß, muss alles glauben","Werner","Gruber","Fachbuch Naturwissenschaften","9783902404930",,"Buch","Außenstelle Brigittenau I"
"Doktor Faustus","Fritz","Habeck","Belletristik","3714113444",,"Buch","Außenstelle Brigittenau I"
"Maddrax. In den Fängen des Weltrats","Roland","Hahn","Belletristik","9783404232734",,"Buch","Außenstelle Brigittenau I"
"Der ewige Krieg","Joe","Haldeman","Belletristik","9783453164147",,"Buch","Außenstelle Brigittenau I"
"Der Kreis ist ein rundes Quadrat","Michael","Hallstatt","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Japanisch im Sauseschritt 1","Thomas","Hammes","Fachbuch Diverse","4990038479",,"Buch","Außenstelle Brigittenau I"
"Akkus und Batterien richtig pflegen und laden","Bo","Hanus","Fachbuch Elektronik","9783772343896",,"Buch","Außenstelle Brigittenau I"
"Praktische Solaranwendungen","Bo","Hanus","Fachbuch Elektronik","9783772344107",,"Buch","Außenstelle Brigittenau I"
"Imperium","Robert","Harris","Belletristik","9783570306383",,"Buch","Außenstelle Brigittenau I"
"Phi Phi Island","Josef","Haslinger","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Digitale Kommunikation über Funk","Peter","Hatzold","Fachbuch Elektronik","9783772351549",,"Buch","Außenstelle Brigittenau I"
"Das Piratenschiff","Rick","Haupt","Belletristik","9783492246255",,"Buch","Außenstelle Brigittenau I"
"Netzethik","Thomas","Hausmanninger","Fachbuch IT","9783770537471",,"Buch","Außenstelle Brigittenau I"
"Der geheime Schlüssel zum Universum","Stephen","Hawking","Belletristik","9783570132845",,"Buch","Außenstelle Brigittenau I"
"Die unglaubliche Reise ins Universum","Stephen","Hawking","Belletristik","9783570133927",,"Buch","Außenstelle Brigittenau I"
"Japanisch in vier Wochen","Katja","Heere","Fachbuch Diverse","9783125619593",,"Buch","Außenstelle Brigittenau I"
"GPRS Gateways zu 3G Mobilfunknetzen","Gunnar","Heine","Fachbuch Elektronik","9783772345531",,"Buch","Außenstelle Brigittenau I"
"LPIC 1","Peer","Heinlein","Fachbuch IT","9783941841826",,"Buch","Außenstelle Brigittenau I"
"Das Evangelium des fligenden Spaghettimonsters","Bobby","Henderson","Fachbuch Religion","9783442542628",,"Buch","Außenstelle Brigittenau I"
"Linux Essentials","Christian","Hesse","Fachbuch IT","9783941841680",,"Buch","Außenstelle Brigittenau I"
"Turbo Pascal","Christoph","Hesselmann","Fachbuch IT","9783887453084",,"Buch","Außenstelle Brigittenau I"
"Turbo Pascal","Marius","Heyn","Fachbuch IT","9783890112176",,"Buch","Außenstelle Brigittenau I"
"Der Dipol in Theorie und Praxis","Karl","Hille","Fachbuch Elektronik","9783910159068",,"Buch","Außenstelle Brigittenau I"
"Windom- und Stromsummenantennen","Karl","Hille","Fachbuch Elektronik","9783910159143",,"Buch","Außenstelle Brigittenau I"
"Zeitbombe Radioaktivität","Wolfgang","Hingst","Fachbuch Naturwissenschaften","3701500770",,"Buch","Außenstelle Brigittenau I"
"Am Ende der Welt","Wolfgang","Hohlbein","Belletristik","9783802536168",,"Buch","Außenstelle Brigittenau I"
"Der Spinnenkrieg","Wolfgang","Hohlbein","Belletristik","9783828901438",,"Buch","Außenstelle Brigittenau I"
"Vegan kann jeder","Nadine","Horn","Fachbuch Diverse","9783942491457",,"Buch","Außenstelle Brigittenau I"
"Der eiserne Wald","Chris","Howard","Belletristik","9783426512890",,"Buch","Außenstelle Brigittenau I"
"Das dritte Reich II","Heinz","Huber","Fachbuch Geschichte",,,"Buch","Außenstelle Brigittenau I"
"Öko Krieger","Emily","Hunter","Belletristik","9783596188741",,"Buch","Außenstelle Brigittenau I"
"Schöne neue Welt","Aldous","Huxley","Belletristik","9783596905737",,"Buch","Außenstelle Brigittenau I"
"Woran du erkennst, dass deine Katze deinen Tod plant","Matthew","Inman","Belletristik","9783527507412",,"Buch","Außenstelle Brigittenau I"
"Magico 1","Naoki","Iwamoto","Manga","9782889215119",,"Buch","Außenstelle Brigittenau I"
"Magico 2","Naoki","Iwamoto","Manga","9782889215126",,"Buch","Außenstelle Brigittenau I"
"Magico 3","Naoki","Iwamoto","Manga","9782889215133",,"Buch","Außenstelle Brigittenau I"
"Magico 4","Naoki","Iwamoto","Manga","9782889215140",,"Buch","Außenstelle Brigittenau I"
"Magico 5","Naoki","Iwamoto","Manga","9782889215157",,"Buch","Außenstelle Brigittenau I"
"Magico 6","Naoki","Iwamoto","Manga","9782889215164",,"Buch","Außenstelle Brigittenau I"
"Magico 7","Naoki","Iwamoto","Manga","9782889215171",,"Buch","Außenstelle Brigittenau I"
"Magico 8","Naoki","Iwamoto","Manga","9782889215188",,"Buch","Außenstelle Brigittenau I"
"Telekommunikationstechnik","Horst","Jansen","Fachbuch Elektronik",,,"Buch","Außenstelle Brigittenau I"
"Mein schwarzer Hund","Matthew","Johnstone","Belletristik","9783888975370",,"Buch","Außenstelle Brigittenau I"
"Resilenz","Matthew","Johnstone","Belletristik","9783956140662",,"Buch","Außenstelle Brigittenau I"
"Die Verwandlung","Franz","Kafka","Belletristik","9783938484135",,"Buch","Außenstelle Brigittenau I"
"Das goldene Kochbuch","Bernhard","Kaiser","Fachbuch Diverse",,,"Buch","Außenstelle Brigittenau I"
"Grundlagen zur Metaphysik der Sitten","Immanuel","Kant","Fachbuch Philosophie","9783150045077",,"Buch","Außenstelle Brigittenau I"
"Grundzüge der Informationstechnologie","Dimitris","Karagiannis","Fachbuch IT",,,"Buch","Außenstelle Brigittenau I"
"Takeover","Fritjof","Karnani","Belletristik","9783899776638",,"Buch","Außenstelle Brigittenau I"
"Das fliegende Klassenzimmer","Erich","Kästner","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Emil und die Detektive","Erich","Kästner","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Blue Exorcist 1","Kazue","Kato","Manga","9782889210251",,"Buch","Außenstelle Brigittenau I"
"Metasploit","David","Kennedy","Fachbuch IT","9781593272883",,"Buch","Außenstelle Brigittenau I"
"Captain Blitz und seine Freunde","Steffen","Kent","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Chemikalien und Drogen","Walther","Kern","Fachbuch Naturwissenschaften","3540054782",,"Buch","Außenstelle Brigittenau I"
"Gregs Tagebuch 6","Jeff","Kinney","Comic","9783833936371",,"Buch","Außenstelle Brigittenau I"
"fortgeblasen und angeschwemmt","Claudia","Kirchberger","Belletristik","9783837098297",,"Buch","Außenstelle Brigittenau I"
"Der Club der toten Dichter","Nancy","Kleinbaum","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Ricki, das Rehlein und andere Tiergeschichten","Kurt","Knaak","Belletristik","3439025713",,"Buch","Außenstelle Brigittenau I"
"Foliensammlung Grundlagen der Kostenrechnung","Christine","Knauer","Fachbuch Wirtschaft","9789061160106",,"Buch","Außenstelle Brigittenau I"
"Du hast mich auf dem Balkon vergessen!","Anna","Koch","Anderes","9783499626944",,"Buch","Außenstelle Brigittenau I"
"Die Nibelungen neu erzählt","Michael","Köhlmeier","Belletristik","9783492228824",,"Buch","Außenstelle Brigittenau I"
"Vor uns die Sintflut","Elizabeth","Kolbert","Belletristik","9783833305207",,"Buch","Außenstelle Brigittenau I"
"Im Spinnennetz","Klaus","Kordon","Belletristik","9783407742605",,"Buch","Außenstelle Brigittenau I"
"Einführung in die Physik","Jürgen","Korsch","Fachbuch Naturwissenschaften","3923923600",,"Buch","Außenstelle Brigittenau I"
"So interessant ist Physik","Walter","Kranzer","Fachbuch Naturwissenschaften","3761406533",,"Buch","Außenstelle Brigittenau I"
"Elektrotechnik 2","Franz","Krikava","Fachbuch Elektronik",,,"Buch","Außenstelle Brigittenau I"
"Wir kochen Vegan","Melanie","Kröpfl","Fachbuch Diverse","9783990051818",,"Buch","Außenstelle Brigittenau I"
"Tokyo Summer of the dead 1","Shiichi","Kugura","Manga","9783770481101",,"Buch","Außenstelle Brigittenau I"
"Das marmorne Paradies","Sergej","Kusnezow","Belletristik","9783453528611",,"Buch","Außenstelle Brigittenau I"
"Skulduggery Pleasant","Derek","Landy","Belletristik","9783785560020",,"Buch","Außenstelle Brigittenau I"
"Sturm","Uwe","Laub","Belletristik","9783453419803",,"Buch","Außenstelle Brigittenau I"
"Computergeschichten","Bernd","Leitenberger","Belletristik","9783735782106",,"Buch","Außenstelle Brigittenau I"
"Zwei in geheimer Mission","Günther","Leopold","Belletristik","3700411030",,"Buch","Außenstelle Brigittenau I"
"Freie Kultur: Wesen und Zukunft der Kreativität","Lawrence","Lessig","Fachbuch Diverse","9783937514154",,"Buch","Außenstelle Brigittenau I"
"Der Luftraum darf nicht mit dem Fahrrad verletzt werden","Roman","Leuthner","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Hackers","Steven","Levy","Belletristik","0440134056",,"Buch","Außenstelle Brigittenau I"
"Jarcks","Hjördis-Thyra","Lignau","Belletristik","9783941275409",,"Buch","Außenstelle Brigittenau I"
"Die verrückte Flugmaschine","Irmgard","Lindner","Belletristik","9783522176644",,"Buch","Außenstelle Brigittenau I"
"DNS & BIND mit IPv6","Cricket","Liu","Fachbuch IT","9783868991802",,"Buch","Außenstelle Brigittenau I"
"Visonen und Prophezeiungen","Sven","Loerzer","Fachbuch Philosophie","3629913660",,"Buch","Außenstelle Brigittenau I"
"The Giver","Lois","Lowry","Belletristik","9780440237686",,"Buch","Außenstelle Brigittenau I"
"Eine Woche voller Samstage","Paul","Maar","Belletristik","9783789119521",,"Buch","Außenstelle Brigittenau I"
"LPIC 1","Harald","Maaßen","Fachbuch IT","9783836235297",,"Buch","Außenstelle Brigittenau I"
"LPIC 2","Harald","Maaßen","Fachbuch IT","9783836235297",,"Buch","Außenstelle Brigittenau I"
"Maddrax. Reise in die neue Welt.","John","Maddox","Belletristik","9783404232697",,"Buch","Außenstelle Brigittenau I"
"Modellflug","Dieter","Maier","Fachbuch Diverse","3485016284",,"Buch","Außenstelle Brigittenau I"
